Export;EXP-2024-001 (2024-08-26T23:31:52+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-07-15T08:00:00+01:00;2024-07-15T09:00:00+01:00;8.67;8.21;3.37;23.88;6.59;6.89;35.66;12.71;15.77;26.91;11.17;22.01;9.23;14.59;20.59;16.73;34.21;33.77;13.33;13.81;19.67;33.35;28.73;32.34;65.95;17.7;22.13;10.2;10.41;20.13;22.26;23.33;13.58;12.79;12.55;5.68;15.44;14.61;7.35;12.16;3.64;2.64;19.4;8.07
NO2;uur;µg/m³;2024-07-15T09:00:00+01:00;2024-07-15T10:00:00+01:00;6.21;4.78;3.63;17.92;4.25;5.27;25.12;7.86;8.79;28.8;6.32;13.23;5.52;12.85;19.7;20.44;19.98;19.1;19.37;12.65;11.29;24.59;24.29;18.41;50.18;16.72;16;7.19;4.88;14.22;18.62;17.22;7.78;6.51;8.65;5.7;11.73;9.65;5.21;11.71;3.26;2.5;16.51;7.62
NO2;uur;µg/m³;2024-07-15T10:00:00+01:00;2024-07-15T11:00:00+01:00;2.79;3.32;3.25;13.84;2.74;3.24;6.29;7.41;8.72;20.43;3.92;3.48;4.17;4.31;25.86;10.52;22.25;14.27;11.8;5.01;10.37;20.43;14.98;16.39;50.02;12.71;15.65;3.68;4.1;13.28;11.13;14.75;5.1;5.24;7.06;3.15;10.99;8.85;4.04;6.92;3.36;2.6;16.33;6.35
NO2;uur;µg/m³;2024-07-15T11:00:00+01:00;2024-07-15T12:00:00+01:00;3.04;3.81;2.3;11.82;2.94;1.94;1.84;7.67;6.43;17.81;3.03;2.45;3.1;2.72;6.14;3.11;11.11;10.1;7.24;3.63;8.45;13.74;11.82;12.8;33.74;8.76;15.19;2.47;3.45;12.93;11.16;16.8;5.18;4.4;5.76;2.2;12.92;7.25;2.47;;2.48;4.12;9.16;4.32
NO2;uur;µg/m³;2024-07-15T12:00:00+01:00;2024-07-15T13:00:00+01:00;2.65;3.76;2.24;11.54;4.96;3.32;1.69;7.3;7.31;13.63;3.48;3.05;3.14;2.29;7.21;3.69;11.46;8.49;4.96;2.89;6.65;14.04;8.33;9.21;34.7;8.45;13.96;2.36;2;9.37;10.91;11.98;3.97;3.34;4.8;1.93;9.54;4.27;1.74;;1.9;5.53;10.54;2.32
NO2;uur;µg/m³;2024-07-15T13:00:00+01:00;2024-07-15T14:00:00+01:00;2.41;3.46;2.87;23.13;4.82;2.89;2.13;8.81;8.55;17.64;2.63;3.02;4.51;2.67;6.69;4.97;11.84;7.51;5.17;2.79;5.55;12.21;6.48;6.44;42.41;6.02;16.83;2.41;3.05;9.55;11.8;8.58;3.64;3.01;4.19;1.95;15.7;5.56;1.55;;1.66;2.55;15.25;2.3
NO2;uur;µg/m³;2024-07-15T14:00:00+01:00;2024-07-15T15:00:00+01:00;2.27;3.72;3.34;20.3;3.99;4.82;1.73;8.36;8.67;24.12;4.19;3.9;4.79;3.25;4.78;3.66;9.98;14.26;4.06;3.4;4.14;11.34;4.48;8.42;37.74;3.86;15.29;2.2;2.53;11.29;13.41;2.86;3.67;3.75;4.77;1.86;14.53;4.74;2.05;2.47;1.76;1.86;;2.34
NO2;uur;µg/m³;2024-07-15T15:00:00+01:00;2024-07-15T16:00:00+01:00;3.18;3.77;3.39;15.28;4.26;7.19;2.45;8.58;9.36;24.17;4.34;5.14;5.64;3.43;2.88;5.3;9.54;12.44;5.3;4.29;3.59;11.81;3.79;9.4;42.6;3.25;17.21;2.1;2.92;15.63;14.86;4.15;4.57;4.83;4.15;2.56;15.75;6.68;1.99;3.09;2.16;1.8;;1.71
NO2;uur;µg/m³;2024-07-15T16:00:00+01:00;2024-07-15T17:00:00+01:00;4.26;5.04;3.9;19.94;3.97;4.73;2.98;9.66;12.2;28.23;5.21;6.45;5.52;3.55;7.94;7.09;11.54;13.05;5.99;5.56;5;15.44;5.28;12.54;44.83;2.89;19.22;2.4;3.31;14.72;18.44;6.6;5.89;5.54;4.92;2.99;20.65;8.26;1.77;1.96;2.15;1.5;7.7;1.74
NO2;uur;µg/m³;2024-07-15T17:00:00+01:00;2024-07-15T18:00:00+01:00;6.49;6.91;4.05;25.76;4.82;15.26;2.66;12.62;13;29.49;8.32;9.89;4.85;4.67;6.14;6.38;11.99;25.88;10.56;5.99;5.43;18.62;7.56;18.79;56.5;3.14;25.1;2.87;3.71;17.79;24.28;5.37;6.4;8.82;4.72;4.8;17.43;10.12;1.89;2.58;2.38;1.54;15.63;9.96
NO2;uur;µg/m³;2024-07-15T18:00:00+01:00;2024-07-15T19:00:00+01:00;9.05;7.83;6.14;33.01;15.63;48.83;4.52;16.45;16.58;34.2;9.03;9.62;7.74;7.1;5.18;33.1;15.11;30.13;11.91;11.58;7.33;30.31;16.62;34.97;55.28;5.61;31.42;2.88;5.77;16.03;24.59;12.06;12.1;14.29;4.92;7.14;49.86;16.57;2.8;2.41;3.05;2.38;13.78;11.18
NO2;uur;µg/m³;2024-07-15T19:00:00+01:00;2024-07-15T20:00:00+01:00;12.54;13.28;6.67;13.68;8.15;35.81;7.56;16.5;20.14;25.01;13.7;18.24;12.71;10.82;7.58;26.29;16.93;17.99;16.16;22.54;8.86;29.43;16.43;46.57;60.29;3.37;28.47;4.25;10.12;18.19;23.05;30.68;14.88;18.11;6.82;9.04;61.58;35;4.47;2.42;3.7;2.29;14.38;4.67
NO2;uur;µg/m³;2024-07-15T20:00:00+01:00;2024-07-15T21:00:00+01:00;12.11;18.88;4.56;18.28;10.21;28.16;7.23;20.68;20.06;26.61;20.35;30.5;12.77;14.96;20.01;15.27;14.59;15.71;22.41;13.56;13.98;23.93;15.44;26.86;47.69;2.71;20.86;4.55;7.7;20.53;25.6;32.28;18.39;12.35;7.02;7.24;50.35;24.95;4.83;3.23;5.11;2.54;8.02;1.93
NO2;uur;µg/m³;2024-07-15T21:00:00+01:00;2024-07-15T22:00:00+01:00;10.33;18.12;4.55;8.37;6.99;26.7;6.39;20.43;24.22;15.94;9.98;22.88;13.99;15.34;12.23;18.76;15.74;19.73;18.36;13.01;17.04;21.75;9.39;20.38;37.75;2.88;26.21;5.76;6.13;17.97;16.36;20.19;12.87;12.12;6.71;6.86;29.76;23.8;3.95;7.38;5.02;3.27;10.77;4.12
NO2;uur;µg/m³;2024-07-15T22:00:00+01:00;2024-07-15T23:00:00+01:00;3.31;13.52;2.24;4.09;3.39;17.25;5.51;16.98;20.14;23.39;5.83;10.16;13.99;14.87;7.63;13.44;9.66;16.75;12.9;9.9;12.9;14.7;8.65;24.1;29.22;4.85;22.44;5.35;6.06;8.46;15.08;14.98;9.9;13.83;7.72;6.21;34.84;17.57;3.83;3.89;4.56;3.67;14.27;5.79
NO2;uur;µg/m³;2024-07-15T23:00:00+01:00;2024-07-16T00:00:00+01:00;2.52;7.82;2.29;3.72;3.16;11.8;5.64;15.55;20.79;22.89;8.6;10.43;12.84;14.09;15.92;9.43;15.28;12.75;14.9;11.69;18.28;13.54;8.63;20.51;27.1;6.21;22.98;3.49;7.76;7.26;12.52;19.66;8.54;12.62;9.42;4.24;17.77;14.24;3.8;2.92;5.25;3.68;9.28;5.77
NO2;uur;µg/m³;2024-07-16T00:00:00+01:00;2024-07-16T01:00:00+01:00;3.21;6.42;2.2;3.89;3.51;10.14;19.32;4.79;4.7;;8.39;7.06;3.16;11.33;18.6;5.64;17.03;20.19;14.1;12.81;8.43;11.57;10.25;45.73;18.8;4.16;10.99;4.79;8.33;8.19;10.77;9.64;9.31;11.23;9.07;6.05;10.36;9.27;4.96;4.12;6.09;4.9;;5.27
NO2;uur;µg/m³;2024-07-16T01:00:00+01:00;2024-07-16T02:00:00+01:00;2.52;3.89;1.88;2.7;2.74;9.05;15.26;2.63;3.17;9.24;9.5;9.67;2.53;5.93;9.69;3.83;14.03;17.72;8.42;10.37;6.87;12.51;15.19;28.31;19.58;3.94;8.82;3.41;6.41;7.3;7.07;7.66;6.45;13.6;6.84;7.43;6.57;6.79;4.24;4.59;5.06;4.7;6.83;3.93
NO2;uur;µg/m³;2024-07-16T02:00:00+01:00;2024-07-16T03:00:00+01:00;2.69;3.44;1.53;2.43;2.77;22.68;8.41;3.25;4.51;8.88;10.51;7.54;3.14;4.98;3.48;1.88;21.52;24.72;6.24;11.66;5.35;19.34;16.68;38.58;20.97;3.56;9.26;5.9;8.08;8.98;13.72;11.4;9.32;9.93;6.89;5.63;6.61;5.86;4.99;3.68;4.17;3.74;6.13;3.74
NO2;uur;µg/m³;2024-07-16T03:00:00+01:00;2024-07-16T04:00:00+01:00;4.98;3.37;3.12;2.49;2.88;6.53;7.85;4.19;4.22;4.28;6.72;3.67;3.37;3.75;4.2;1.79;8.23;19.9;3.31;4.83;7.42;8.27;7.97;15.35;8.62;4.69;8.15;7.52;10.54;8.44;10.81;11.56;8.53;7.53;3.44;6.29;6.73;5.19;5.75;4.04;5.21;3.47;14.58;5.15
NO2;uur;µg/m³;2024-07-16T04:00:00+01:00;2024-07-16T05:00:00+01:00;7.68;9.27;6.21;3.87;3.54;9.03;12.87;3.77;5.42;7.38;6.64;4.3;3.61;3.11;4.71;1.95;8.14;17.67;3.26;5.33;5.14;7.62;6.64;12.72;17.76;9.86;7.24;7.66;5.39;5.22;6.24;11.13;4.37;3.55;3.63;7.36;9.14;5.54;7.09;5.52;5.66;3.83;22.56;4.34
NO2;uur;µg/m³;2024-07-16T05:00:00+01:00;2024-07-16T06:00:00+01:00;6.97;8.12;6.38;5.44;4.47;8.81;13.36;5.12;8.69;14.32;11.21;4.4;3.28;2.77;4.34;2.78;8.8;16.82;4.06;6.38;2.98;10.7;10.02;18.92;25.82;23.56;5.72;5.41;5.89;7.73;10.04;18.67;4.9;4.96;3.98;4.3;9;5.92;7.71;7.99;4.17;5.19;13.49;6.49
NO2;uur;µg/m³;2024-07-16T06:00:00+01:00;2024-07-16T07:00:00+01:00;5.75;7.02;5.8;9.17;3.91;8.29;15.22;6.24;13.09;19.62;11.94;5.73;4.48;2.81;3.6;3.49;12.15;20.27;4.67;6.32;4.26;13.6;11.02;23.78;26.11;7.58;8.53;4.21;7.71;10.3;14.69;16.01;6.43;5.34;4.5;4.77;9.62;4.97;3.61;5.41;3.21;6.74;14;8.27
NO2;uur;µg/m³;2024-07-16T07:00:00+01:00;2024-07-16T08:00:00+01:00;4.14;3.6;3.11;6.76;2.56;7.96;11.83;6.63;10.98;17.92;10.68;6.71;4.83;2.42;4.66;3.8;11.99;18.98;3.88;6.24;3.7;16.22;10.62;18.68;28.12;10.68;9.22;4.75;11;11.3;14;15.59;6.43;4.95;4.19;4.73;5.74;10.62;4.3;5.29;3.49;4.64;13.27;6.78
NO2;uur;µg/m³;2024-07-16T08:00:00+01:00;2024-07-16T09:00:00+01:00;4.18;3.05;2.79;5.13;2.35;6.56;7.82;5.7;8.58;13.13;7.46;4.41;3.29;2.1;4.69;3.12;8.03;15.57;5.35;8.1;3.77;13.49;8.93;14.86;21.07;3.2;11.14;4.29;11.17;12.96;11.7;16.02;5.75;5.07;3.35;5.11;6.04;8.12;4.41;4.81;2.29;3.41;14.97;3.64
NO2;uur;µg/m³;2024-07-16T09:00:00+01:00;2024-07-16T10:00:00+01:00;3.14;2.3;3.06;4.11;2.36;4.57;5.41;6.02;10.81;11.02;4.12;2.74;2.87;2.19;4.79;2.54;6.84;16.65;4.8;7.59;3.08;9.24;6.37;12.27;15.13;2.52;8.25;3.45;3.74;9.88;13.06;14.06;6.75;6.11;3.16;4.18;4.87;3.36;4.24;4.14;3.96;3.05;11.25;3.52
NO2;uur;µg/m³;2024-07-16T10:00:00+01:00;2024-07-16T11:00:00+01:00;4.12;2.45;3.83;4.31;2.16;4.32;4.51;3.93;6.66;8.35;3.77;2.62;2.12;2.21;3.71;1.76;6.62;13.21;3.62;6.85;4.67;7.34;5.66;11.09;15.49;9.57;11.23;3.44;6.19;14;12.23;10.72;7.44;5.96;4.35;2.84;4.99;4.78;3.42;;1.63;2.04;13.83;3.69
NO2;uur;µg/m³;2024-07-16T11:00:00+01:00;2024-07-16T12:00:00+01:00;2.42;2.18;3.64;5.43;2.84;5.64;5.09;4.4;7.3;8.64;4.16;2.04;2.59;1.5;2.3;1.84;6.18;15.03;3.41;5.17;3.3;9.31;7.47;13.84;16.38;4.55;13.03;4.24;5.57;10.37;12.97;9.33;6.04;4.48;4.04;1.78;5.1;3.59;3.36;;2.81;2.18;13.73;2
NO2;uur;µg/m³;2024-07-16T12:00:00+01:00;2024-07-16T13:00:00+01:00;2.9;2.75;3.02;5.21;2.33;5.94;2.77;4.82;6.64;9.84;6.93;2.74;2.25;1.12;3.12;1.28;6.5;16.46;3.65;5.31;1.78;9.36;6.38;15.78;12.54;5.18;7.48;3.07;4.44;9.98;10.62;9.84;4.25;4.09;1.71;1.05;6.22;3.69;3;;2.55;2.58;11.77;2.22
NO2;uur;µg/m³;2024-07-16T13:00:00+01:00;2024-07-16T14:00:00+01:00;2.44;4.48;2.83;5.73;3.07;6.26;5.74;6.07;11.07;17.41;7.41;2.14;3.71;1.56;1.45;0.42;6.6;16.02;2.86;5.59;2;9.68;6.88;15.58;14.98;3.32;8.2;2.69;3.83;10.17;10.57;12.48;4.96;3.63;1.81;1.37;7.37;3.74;2.27;;1.46;2.09;13.08;2.05
NO2;uur;µg/m³;2024-07-16T14:00:00+01:00;2024-07-16T15:00:00+01:00;4.94;6.47;3.68;11.52;5.02;2.82;2.65;6.78;9.16;18.39;8.02;2.12;2.81;1.42;2.6;1.02;5.99;12.15;2.5;4.86;1.14;10.2;5.21;15.81;16.77;2.59;9.48;1.66;3.47;12.35;15.33;13.42;5.13;4.27;1.72;1.8;7.86;4.42;3.16;;1.28;2.08;11.99;3.97
NO2;uur;µg/m³;2024-07-16T15:00:00+01:00;2024-07-16T16:00:00+01:00;5.03;6.27;4.27;6.92;3.24;3.49;2.08;6.03;9.87;20.57;7.81;1.7;2.9;1.67;2.38;1.31;5.35;11.24;2.93;3.64;1.72;11.43;5.81;19.89;14.61;2.79;10.03;2.1;7.56;12.11;10.54;18.48;4.6;3.89;2.69;3.71;8.47;3.55;1.92;2.76;1.45;2.23;15.69;3.21
NO2;uur;µg/m³;2024-07-16T16:00:00+01:00;2024-07-16T17:00:00+01:00;4.36;5.1;4.43;7.44;3.68;3.83;2.5;6.3;11.62;19.41;6.12;2.34;3.36;2.44;3.91;1.5;4.7;20.27;2.67;6.25;2.12;10.17;7.78;16.63;15.25;22.88;11.75;3.94;7.54;10.96;11.83;16.6;4.87;5.01;2.64;3.51;7.42;4.04;2.69;3.15;1.2;2.41;16.36;5.41
NO2;uur;µg/m³;2024-07-16T17:00:00+01:00;2024-07-16T18:00:00+01:00;3.81;2.23;3.84;6.24;4.34;4.86;2.16;5.9;7.5;17.23;7.15;3.96;2.48;2.51;1.92;1.28;5.15;8.23;2.84;4.91;3.32;15.65;7.93;9.74;14.13;10.89;11.7;4.04;5.53;10.19;12.37;12.89;5.06;4.66;2.04;3.76;6.92;4.79;3.68;2.43;1.54;2.13;10.39;2.54
NO2;uur;µg/m³;2024-07-16T18:00:00+01:00;2024-07-16T19:00:00+01:00;3.03;3.08;2.48;5.64;3.89;5.93;6.79;5.19;7.49;9.75;7.75;5.08;2.79;2.73;3.1;1.73;5.52;7.8;2.07;4.22;5.82;10.32;11.82;8.37;14.03;17.5;10.41;3.07;5.33;9.78;13.13;16.75;5.81;4.86;2.23;3.63;8.71;5.83;4.46;3.79;1.17;1.74;14.64;2.3
NO2;uur;µg/m³;2024-07-16T19:00:00+01:00;2024-07-16T20:00:00+01:00;3.64;9.87;2.97;5.75;4.6;7.34;4.1;4.6;7.82;9.16;7.1;3.97;2.9;3.09;4.18;2.1;10.61;7.92;3.28;4.88;9.73;21.71;15.73;14.58;20.43;14.46;12.74;4.66;7.5;11.15;10.34;13.85;7.09;3.69;3.56;5.9;14.86;7.56;5.76;5.06;1.75;1.84;13.79;3.35
NO2;uur;µg/m³;2024-07-16T20:00:00+01:00;2024-07-16T21:00:00+01:00;5.45;20.98;3.38;6.52;5.57;7.17;4.62;5.95;8.22;6.09;6.02;6.16;3.13;5.5;6.13;2.75;10.94;12.14;4.79;5.28;7.53;16.16;16.76;14.79;18.08;27.98;11.37;6.56;8.15;9.17;9.29;13.09;6.77;6.26;2.75;9.33;13.15;7.92;4.82;4.29;2.21;3.04;17.06;3.87
NO2;uur;µg/m³;2024-07-16T21:00:00+01:00;2024-07-16T22:00:00+01:00;3.8;13.41;7.02;7.72;6.16;18.11;4.65;5.43;7.24;8.82;6.28;7.37;3.58;7.47;6.9;2.83;15.79;19.02;6.53;7.4;3.71;18.03;15.77;11.86;17.75;9.95;6.79;6.58;10.09;10.3;9.33;14.28;7.8;6.76;3.05;4.37;15.51;13.5;6.55;3.48;2.84;3.23;10.09;5.37
NO2;uur;µg/m³;2024-07-16T22:00:00+01:00;2024-07-16T23:00:00+01:00;3.19;8.86;4.1;6.98;6.11;15.52;7.01;4.58;5.49;7.91;5.02;9.65;3.6;5.63;8.76;2.87;3.87;22.28;5.67;8.83;0.6;7.49;10.58;13.08;6.86;1.88;2.89;5.92;5.58;11.94;11.31;8.67;9.94;7.43;4.33;5.33;13.02;11.89;6.04;1.93;3.38;2.41;7.36;3.75
NO2;uur;µg/m³;2024-07-16T23:00:00+01:00;2024-07-17T00:00:00+01:00;3.15;15.71;4.02;5.16;5.89;5.84;4.57;4.39;4.8;8.36;7.21;6.08;3.58;4.79;11.38;3.24;5.87;16.16;4.87;6.43;0.54;8.89;8.84;19.67;9.47;1.52;2.77;2.55;2.6;6.32;7.68;5.4;6.04;8.79;5.37;5.25;9.85;7.25;3.91;2.25;3.5;1.47;5.45;2.87
NO2;uur;µg/m³;2024-07-17T00:00:00+01:00;2024-07-17T01:00:00+01:00;3.53;15.61;3.18;7.01;6.06;7.47;10.18;4.89;4.8;6.65;7.09;5.48;4.04;6.77;13.08;3.32;4.46;;6.7;8.89;1.63;6.77;12.63;39.74;5.07;1.56;2.69;2.33;3.31;4.93;6.52;4.34;4.16;9.8;5.13;5.56;16.65;8.02;2.23;1.76;2.22;1.64;3.36;1.9
NO2;uur;µg/m³;2024-07-17T01:00:00+01:00;2024-07-17T02:00:00+01:00;3.17;32.14;5.03;4.92;5.14;13.35;5.83;4.91;4.43;7.62;6.97;6.85;3.84;6.3;13.82;3.38;3.66;22.15;8.51;9.17;1.54;5.13;11.64;38.94;3.58;1.63;2.92;1.75;4.62;6.92;9.28;4.61;6.62;10.1;5.3;3.36;13.87;7.54;1.67;1.91;1.5;1.71;2.53;1.76
NO2;uur;µg/m³;2024-07-17T02:00:00+01:00;2024-07-17T03:00:00+01:00;2.84;24.01;3.53;5.15;5.28;11.66;10.08;5.25;4.49;10.91;9.29;7.96;3.88;7.12;13.76;3.36;6.77;21.15;7.74;13.66;1.26;7.65;5.35;22.07;5.61;1.55;2.92;2.24;4.91;7.83;9.64;5.39;6.8;7.48;5.52;4.15;12.68;7.22;1.74;1.02;1.49;1.23;2.76;1.85
NO2;uur;µg/m³;2024-07-17T03:00:00+01:00;2024-07-17T04:00:00+01:00;3.72;10.21;3.44;5.42;5.18;10.88;8.68;6.16;6.38;9.93;8.88;8.5;4.44;6.99;6.24;3.82;4.22;23.61;9.58;14.39;1.98;5.65;6.93;27.08;5.18;1.09;3.9;2.86;5.73;7.57;11.96;6.63;6.73;6.03;4.69;4.35;12.69;7.13;1.53;0.87;1.29;0.79;2.02;1.48
NO2;uur;µg/m³;2024-07-17T04:00:00+01:00;2024-07-17T05:00:00+01:00;4.55;26.23;3.38;9.43;5.17;12.3;9.71;8.04;11.64;13.12;11.49;10.91;7.03;7.17;4.41;4.04;5.47;18.76;5.81;19.81;3.11;7.2;10.61;25.38;11.43;1.43;4.9;1.61;6.33;9.05;11.81;12.42;7.41;6.71;3.85;4.98;18.05;9.46;1.49;0.86;1.48;1.04;3.03;1.55
NO2;uur;µg/m³;2024-07-17T05:00:00+01:00;2024-07-17T06:00:00+01:00;7.36;12.31;5.09;13.65;9.27;20.69;13.86;12.35;18.52;28;17.03;12.14;7.68;7.23;4.83;4.54;5.91;16.02;8.92;21.72;4.01;9.25;13.26;52.55;11.39;2.55;9.77;2.08;4.74;19.61;22.5;19.89;10.45;8.93;4.42;4.78;29.42;16.48;1.82;0.74;1.59;0.76;5.25;2.6
NO2;uur;µg/m³;2024-07-17T06:00:00+01:00;2024-07-17T07:00:00+01:00;9.14;10.71;6.65;16.8;7.84;24.04;24.66;13.95;22.63;30.71;21.78;11.45;11.29;8.34;5.58;6.87;8.41;29.25;8.98;21.49;4.07;16.34;12.3;46.78;16.31;2.35;21.04;3.04;10.16;19.4;25.85;18.76;10.73;9.42;6.1;5.06;18.87;12.36;2.02;1.18;1.06;1.7;10.75;4.43
NO2;uur;µg/m³;2024-07-17T07:00:00+01:00;2024-07-17T08:00:00+01:00;8.43;14.92;7.3;15.18;9.6;15.48;19.34;13.18;20.67;28.88;21.2;8.89;12.83;9.59;5.56;8.93;8.78;23.09;6.68;20.63;3.31;14.52;11.42;37.76;11.97;2.85;16.83;4.45;3.94;17.13;16.18;13.97;6.96;7.83;4.54;3.52;15.45;9.8;2.76;0.67;1.02;2.01;11.32;6.43
NO2;uur;µg/m³;2024-07-17T08:00:00+01:00;2024-07-17T09:00:00+01:00;8.5;11.31;8.54;11.25;7.64;13.99;11.74;13.56;18.23;24.84;14.06;4.48;9.84;8.71;9.65;7.32;6.64;24.01;3.73;10.99;4.34;14.52;8.48;22.25;14.75;2.13;11.67;3.27;6.96;10.49;9.66;13.37;5.01;6.52;4.46;3.66;17.04;8.32;2.56;1.16;1.04;1.46;10.75;5.29
NO2;uur;µg/m³;2024-07-17T09:00:00+01:00;2024-07-17T10:00:00+01:00;4.89;11.86;6.68;9.83;7.13;8.75;9.76;11.37;13.15;17.16;7.22;5.45;7.75;7.82;5.69;5.56;8.65;14.11;4.9;6.67;3.45;16.26;8.72;9.82;14.99;2.61;14.46;2.9;4.29;10.6;11.57;15.45;4.75;6.36;3.72;6.9;14.92;7.79;2.39;2.02;0.9;1;8.72;3.1
NO2;uur;µg/m³;2024-07-17T10:00:00+01:00;2024-07-17T11:00:00+01:00;3.98;6.8;5.72;9.86;6;6.27;7.75;11.35;14.03;18.32;6.89;5.69;7.25;7.31;6.46;4.35;6.99;24.69;4.77;6.4;2.33;13.76;9.54;7.24;15.43;3.4;10.05;4.17;2.84;12.94;14.4;14.52;6.22;11.6;3.66;3.49;15.77;8;2.04;2.18;0.56;1.19;6.74;2.09
NO2;uur;µg/m³;2024-07-17T11:00:00+01:00;2024-07-17T12:00:00+01:00;4;5.51;4.07;8.02;4.42;10.06;6.32;10.31;14.68;19.57;6.7;5.96;6.03;4.44;4.88;3.2;5.26;19.5;3.53;6.12;2.92;10.14;9.65;8.15;11.3;2.73;11.22;3.62;3.12;11.1;11.66;14.47;5.7;12.89;2.74;3.13;16.31;8.27;1.88;2.17;0.78;0.62;7.03;2.41
NO2;uur;µg/m³;2024-07-17T12:00:00+01:00;2024-07-17T13:00:00+01:00;3.68;5.99;3.29;7.89;3.45;5.56;7.03;9.44;13.35;16.09;5.68;4.46;4.99;3.36;3.55;2.32;4.77;15.1;3.09;6.06;2.81;9.41;8.22;10.31;11.26;2.33;10.55;3.17;3.77;11.64;13.99;13.08;6.66;8.82;3.68;3.24;12.66;6.01;1.79;2.01;0.7;0.67;6.4;1.58
NO2;uur;µg/m³;2024-07-17T13:00:00+01:00;2024-07-17T14:00:00+01:00;4.07;5.67;3.41;9.87;3.18;2.83;3.32;15.81;15.53;15.57;5.01;3.26;5.43;3.09;4.31;2.96;3.74;11.79;2.19;4.97;1.78;10.88;6.01;9.25;10.55;2.99;9.78;;4.04;11.15;10.81;12.47;6.33;7.58;2.97;3.71;12.77;6.57;1.57;1.36;0.62;0.55;5.42;1.6
NO2;uur;µg/m³;2024-07-17T14:00:00+01:00;2024-07-17T15:00:00+01:00;5.29;5.63;3.21;9.78;2.99;3.53;2.2;11.38;15.65;10.52;3.37;2.61;5.53;3.07;1.99;2.33;3.13;12.93;2.03;3.64;2.33;8.88;5.71;8.89;8.9;3.63;11.97;3.04;3.77;10.05;10.11;14.28;5.2;6.42;2.29;6.6;17.45;9.15;2.2;1.33;0.57;0.57;6.82;1.25
NO2;uur;µg/m³;2024-07-17T15:00:00+01:00;2024-07-17T16:00:00+01:00;4.65;6.89;2.71;12.62;3.13;3.91;1.43;12.14;14.69;11.51;2.98;2.37;4.55;2.15;1.59;2.85;4.99;6.34;1.65;4.02;1.88;10.88;6.89;9.9;12.51;3.38;10.97;3.17;2.28;10.65;9.2;12.4;5.78;6.09;2.84;5.23;16.6;5.62;2.59;1.45;0.5;0.81;6.73;1.19
NO2;uur;µg/m³;2024-07-17T16:00:00+01:00;2024-07-17T17:00:00+01:00;4.53;4.52;2.51;12.04;3.37;3.07;1.64;10.84;16.04;12.37;3.64;2.39;3.86;2.14;1.44;2.18;5.01;4.96;2.06;3.85;2;11.06;6.51;12.55;10.85;3.57;8.87;3.25;2.31;7.54;8.02;11.9;4.24;5.67;4.92;4.02;13.45;6.22;2.62;2.93;0.98;0.81;7.49;1.21
NO2;uur;µg/m³;2024-07-17T17:00:00+01:00;2024-07-17T18:00:00+01:00;5.53;3.44;2.75;10.61;3.3;3.27;1.26;9.08;11.98;8.19;4.63;2.36;3.94;3.02;1.44;1.98;4.32;15.17;1.71;4;1.93;9.91;5.47;24.3;6.66;2.33;7.04;3.63;2.01;7.21;7.7;12.22;3.84;6.68;4.16;3.33;23.9;8.67;2.71;1.51;1.07;2.16;9.76;1.34
NO2;uur;µg/m³;2024-07-17T18:00:00+01:00;2024-07-17T19:00:00+01:00;6.85;3.1;2.87;9.68;4.3;3.37;2.05;7.96;10.83;11.42;3.44;4.38;4.21;3.6;1.13;2.57;5.15;6.45;4.31;9.86;2.05;11.26;6.15;12.32;7.29;3.33;8.38;;1.44;5.97;8.34;22.72;5.07;4.65;4.77;3.08;17.82;12.75;4.4;1.59;0.89;2.23;8.74;2.18
NO2;uur;µg/m³;2024-07-17T19:00:00+01:00;2024-07-17T20:00:00+01:00;8.62;4.1;3.88;12.15;5.63;4.59;2.41;10.99;12.68;10.22;3.26;5.1;5.86;9.36;3.83;4.08;4.55;6.43;25.95;14.06;2.53;9.59;6.56;14.95;17.69;4.91;12.27;3.49;1.74;8.87;7.6;23.62;5.25;6.1;6.59;3.14;21.17;10;4.13;1.46;1.05;2.1;9.9;2.58
NO2;uur;µg/m³;2024-07-17T20:00:00+01:00;2024-07-17T21:00:00+01:00;8.58;9.22;7.88;14.83;9;17.7;2.59;14.86;17.24;25.9;5.86;7.23;6.57;12.93;3.1;11.3;5.73;7.4;18.65;13.22;2.54;12.24;18.11;21.51;27.87;5.06;20.86;3.62;3.45;13.03;12.06;28.11;8.68;5.38;4.24;6.2;23.24;11.86;4.34;1.94;1.89;2.42;17.17;2.22
NO2;uur;µg/m³;2024-07-17T21:00:00+01:00;2024-07-17T22:00:00+01:00;10.76;12.75;6.75;22.74;15.88;12.08;3.99;17.07;22;41.42;11.73;8.62;8.34;16.33;10.13;13.16;10.18;13.83;16.15;10.52;3.91;12.14;15.35;27.86;29.53;4.77;25.47;6.01;4.17;17.94;18.06;23.18;12.79;7.23;4.12;5.87;62.51;27.36;6.18;2.52;2.68;2.14;19.39;2.84
